,temperature,humidity,P1,P2,timestamp_new
1,12.0,,,,2023-02-04 04:22:51+00:00
5,11.0,,,,2023-02-04 04:25:32+00:00
11,12.0,,,,2023-02-04 04:28:13+00:00
13,12.0,,,,2023-02-04 04:30:52+00:00
17,12.0,,,,2023-02-04 04:33:33+00:00
23,12.0,,,,2023-02-04 04:36:13+00:00
25,12.0,,,,2023-02-04 04:38:53+00:00
29,13.0,,,,2023-02-04 04:41:33+00:00
35,13.0,,,,2023-02-04 04:44:13+00:00
39,13.0,,,,2023-02-04 04:46:54+00:00
41,13.0,,,,2023-02-04 04:49:33+00:00
45,13.0,,,,2023-02-04 04:52:14+00:00
51,14.0,,,,2023-02-04 04:54:54+00:00
53,14.0,,,,2023-02-04 04:57:34+00:00
57,14.0,,,,2023-02-04 05:00:14+00:00
63,14.0,,,,2023-02-04 05:02:54+00:00
67,15.0,,,,2023-02-04 05:05:35+00:00
71,15.0,,,,2023-02-04 05:08:15+00:00
75,15.0,,,,2023-02-04 05:10:55+00:00
79,15.0,,,,2023-02-04 05:13:35+00:00
83,16.0,,,,2023-02-04 05:16:15+00:00
85,16.0,,,,2023-02-04 05:18:55+00:00
89,16.0,,,,2023-02-04 05:21:35+00:00
95,16.0,,,,2023-02-04 05:24:16+00:00
99,16.0,,,,2023-02-04 05:26:55+00:00
101,16.0,,,,2023-02-04 05:29:36+00:00
105,16.0,,,,2023-02-04 05:32:16+00:00
109,17.0,,,,2023-02-04 05:34:56+00:00
113,17.0,,,,2023-02-04 05:37:36+00:00
117,17.0,,,,2023-02-04 05:40:17+00:00
121,17.0,,,,2023-02-04 05:42:56+00:00
127,17.0,,,,2023-02-04 05:45:36+00:00
131,18.0,,,,2023-02-04 05:48:17+00:00
133,18.0,,,,2023-02-04 05:50:57+00:00
137,18.0,,,,2023-02-04 05:53:37+00:00
141,18.0,,,,2023-02-04 05:56:17+00:00
145,18.0,,,,2023-02-04 05:58:57+00:00
149,19.0,,,,2023-02-04 06:01:37+00:00
153,19.0,,,,2023-02-04 06:04:17+00:00
157,19.0,,,,2023-02-04 06:06:58+00:00
163,19.0,,,,2023-02-04 06:09:38+00:00
165,19.0,,,,2023-02-04 06:12:18+00:00
169,19.0,,,,2023-02-04 06:14:58+00:00
173,19.0,,,,2023-02-04 06:17:39+00:00
177,19.0,,,,2023-02-04 06:20:19+00:00
181,20.0,,,,2023-02-04 06:22:59+00:00
187,20.0,,,,2023-02-04 06:25:39+00:00
189,20.0,,,,2023-02-04 06:28:19+00:00
193,20.0,,,,2023-02-04 06:31:00+00:00
199,21.0,,,,2023-02-04 06:33:39+00:00
203,21.0,,,,2023-02-04 06:36:19+00:00
207,21.0,,,,2023-02-04 06:39:00+00:00
211,21.0,,,,2023-02-04 06:41:40+00:00
215,21.0,,,,2023-02-04 06:44:19+00:00
217,22.0,,,,2023-02-04 06:46:59+00:00
223,22.0,,,,2023-02-04 06:49:40+00:00
227,22.0,,,,2023-02-04 06:52:20+00:00
229,22.0,,,,2023-02-04 06:55:00+00:00
233,22.0,,,,2023-02-04 06:57:41+00:00
239,23.0,,,,2023-02-04 07:00:21+00:00
243,23.0,,,,2023-02-04 07:03:00+00:00
245,23.0,,,,2023-02-04 07:05:41+00:00
249,23.0,,,,2023-02-04 07:08:21+00:00
255,23.0,,,,2023-02-04 07:11:01+00:00
257,24.0,,,,2023-02-04 07:13:42+00:00
261,24.0,,,,2023-02-04 07:16:21+00:00
267,24.0,,,,2023-02-04 07:19:01+00:00
269,25.0,,,,2023-02-04 07:21:42+00:00
275,25.0,,,,2023-02-04 07:24:22+00:00
277,25.0,,,,2023-02-04 07:27:02+00:00
281,25.0,,,,2023-02-04 07:29:42+00:00
287,25.0,,,,2023-02-04 07:32:22+00:00
289,25.0,,,,2023-02-04 07:35:03+00:00
293,25.0,,,,2023-02-04 07:37:43+00:00
299,25.0,,,,2023-02-04 07:40:23+00:00
301,26.0,,,,2023-02-04 07:43:03+00:00
305,26.0,,,,2023-02-04 07:45:43+00:00
309,26.0,,,,2023-02-04 07:48:23+00:00
315,26.0,,,,2023-02-04 07:51:03+00:00
319,26.0,,,,2023-02-04 07:53:43+00:00
